Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
sessions,FetchUUIDFromToken,1065.474,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1065.474,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1065.475,R,data,,,,
sessions,FetchUUIDFromToken,1066.327,R,uuid,,,,
updateAll,,1066.327,,,,,,
activeClientSessions,IsActiveSession,1067.582,R,id,,,,
accounts,FetchTrainerIds,1067.582,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1067.583,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1067.583,R,data,,,,
accounts,UpdateAccountLastActivity,1067.586,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1067.592,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1067.593,W,lastActivity,,,,
accountStats,UpdateAccountStats,1067.595,W,stats,,,,
systemSaveData,StoreSystemSaveData,1067.638,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1089.277,R,uuid,,,,
activeClientSessions,IsActiveSession,1089.278,R,id,,,,
verify system,,1089.278,,,,,,
sessions,FetchUUIDFromToken,1097.960,R,uuid,,,,
activeClientSessions,IsActiveSession,1097.961,R,id,,,,
verify system,,1097.961,,,,,,
sessions,FetchUUIDFromToken,1121.785,R,uuid,,,,
activeClientSessions,IsActiveSession,1121.785,R,id,,,,
verify system,,1121.785,,,,,,
sessions,FetchUUIDFromToken,1145.390,R,uuid,,,,
activeClientSessions,IsActiveSession,1145.391,R,id,,,,
verify system,,1145.391,,,,,,
sessions,FetchUUIDFromToken,1180.871,R,uuid,,,,
updateAll,,1180.871,,,,,,
activeClientSessions,IsActiveSession,1183.586,R,id,,,,
accounts,FetchTrainerIds,1183.587,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1183.588,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1183.589,R,data,,,,
accounts,UpdateAccountLastActivity,1183.592,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1183.600,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1183.602,W,lastActivity,,,,
accountStats,UpdateAccountStats,1183.604,W,stats,,,,
systemSaveData,StoreSystemSaveData,1183.617,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1217.541,R,uuid,,,,
activeClientSessions,IsActiveSession,1217.542,R,id,,,,
verify system,,1217.542,,,,,,
sessions,FetchUUIDFromToken,1231.156,R,uuid,,,,
activeClientSessions,IsActiveSession,1231.157,R,id,,,,
verify system,,1231.157,,,,,,
sessions,FetchUUIDFromToken,1263.196,R,uuid,,,,
activeClientSessions,IsActiveSession,1263.197,R,id,,,,
verify system,,1263.197,,,,,,
sessions,FetchUUIDFromToken,1282.582,R,uuid,,,,
activeClientSessions,IsActiveSession,1282.583,R,id,,,,
verify system,,1282.583,,,,,,
sessions,FetchUUIDFromToken,1298.674,R,uuid,,,,
updateAll,,1298.674,,,,,,
activeClientSessions,IsActiveSession,1301.130,R,id,,,,
accounts,FetchTrainerIds,1301.131,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1301.143,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1301.144,R,data,,,,
