Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accounts,FetchTrainerIds,459.346,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,459.347,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,459.347,R,data,,,,
accounts,UpdateAccountLastActivity,459.351,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,459.361,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,459.362,W,lastActivity,,,,
accountStats,UpdateAccountStats,459.364,W,stats,,,,
systemSaveData,StoreSystemSaveData,459.378,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,515.216,R,uuid,,,,
activeClientSessions,IsActiveSession,515.216,R,id,,,,
verify system,,515.216,,,,,,
sessions,FetchUUIDFromToken,536.806,R,uuid,,,,
activeClientSessions,IsActiveSession,536.807,R,id,,,,
verify system,,536.807,,,,,,
sessions,FetchUUIDFromToken,632.028,R,uuid,,,,
activeClientSessions,IsActiveSession,632.029,R,id,,,,
verify system,,632.029,,,,,,
sessions,FetchUUIDFromToken,665.239,R,uuid,,,,
activeClientSessions,IsActiveSession,665.240,R,id,,,,
verify system,,665.240,,,,,,
sessions,FetchUUIDFromToken,686.652,R,uuid,,,,
updateAll,,686.652,,,,,,
activeClientSessions,IsActiveSession,686.661,R,id,,,,
accounts,FetchTrainerIds,686.661,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,686.662,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,686.663,R,data,,,,
accounts,UpdateAccountLastActivity,686.666,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,686.670,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,686.671,W,lastActivity,,,,
accountStats,UpdateAccountStats,686.672,W,stats,,,,
systemSaveData,StoreSystemSaveData,686.687,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,737.318,R,uuid,,,,
activeClientSessions,IsActiveSession,737.318,R,id,,,,
verify system,,737.318,,,,,,
sessions,FetchUUIDFromToken,797.410,R,uuid,,,,
activeClientSessions,IsActiveSession,797.410,R,id,,,,
verify system,,797.410,,,,,,
sessions,FetchUUIDFromToken,902.933,R,uuid,,,,
activeClientSessions,UpdateActiveSession,902.934,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,902.935,R,data,,,,
newclear session,,902.936,,,,,,
sessions,FetchUUIDFromToken,906.184,R,uuid,,,,
updateAll,,906.184,,,,,,
activeClientSessions,IsActiveSession,906.192,R,id,,,,
accounts,FetchTrainerIds,906.193,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,906.193,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,906.194,R,data,,,,
accounts,UpdateAccountLastActivity,906.197,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,906.207,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,906.208,W,lastActivity,,,,
accountStats,UpdateAccountStats,906.210,W,stats,,,,
systemSaveData,StoreSystemSaveData,906.225,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,906.410,R,uuid,,,,
activeClientSessions,UpdateActiveSession,906.410,W,uuid,clientSessionId,,,
clear session,,906.411,,,,,,
accounts,UpdateAccountLastActivity,906.412,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,906.413,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,906.597,R,uuid,,,,
Info,,906.597,,,,,,
accounts,FetchUsernameFromUUID,906.598,R,userName,,,,
accounts,FetchDiscordIdByUsername,906.599,R,discordId,,,,
accounts,FetchGoogleIdByUsername,906.600,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,906.600,R,slot,,,,
sessions,FetchUUIDFromToken,930.630,R,uuid,,,,
sessions,FetchUUIDFromToken,930.630,R,uuid,,,,
activeClientSessions,UpdateActiveSession,930.630,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,930.631,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,930.631,R,data,,,,
sessionSaveData,ReadSessionSaveData,930.631,R,data,,,,
sessions,FetchUUIDFromToken,930.632,R,uuid,,,,
