Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
sessions,FetchUUIDFromToken,1393.116,R,uuid,,,,
activeClientSessions,IsActiveSession,1393.117,R,id,,,,
verify system,,1393.117,,,,,,
sessions,FetchUUIDFromToken,1416.055,R,uuid,,,,
activeClientSessions,IsActiveSession,1416.056,R,id,,,,
verify system,,1416.056,,,,,,
sessions,FetchUUIDFromToken,1512.484,R,uuid,,,,
activeClientSessions,IsActiveSession,1512.485,R,id,,,,
verify system,,1512.485,,,,,,
sessions,FetchUUIDFromToken,1559.605,R,uuid,,,,
updateAll,,1559.605,,,,,,
activeClientSessions,IsActiveSession,1559.794,R,id,,,,
accounts,FetchTrainerIds,1559.795,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1559.796,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1559.796,R,data,,,,
accounts,UpdateAccountLastActivity,1559.799,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1559.805,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1559.806,W,lastActivity,,,,
accountStats,UpdateAccountStats,1559.808,W,stats,,,,
systemSaveData,StoreSystemSaveData,1559.821,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1622.852,R,uuid,,,,
activeClientSessions,IsActiveSession,1622.853,R,id,,,,
verify system,,1622.853,,,,,,
sessions,FetchUUIDFromToken,1661.813,R,uuid,,,,
activeClientSessions,IsActiveSession,1661.813,R,id,,,,
verify system,,1661.813,,,,,,
sessions,FetchUUIDFromToken,1694.151,R,uuid,,,,
activeClientSessions,IsActiveSession,1694.152,R,id,,,,
verify system,,1694.152,,,,,,
sessions,FetchUUIDFromToken,1723.450,R,uuid,,,,
activeClientSessions,IsActiveSession,1723.451,R,id,,,,
verify system,,1723.451,,,,,,
sessions,FetchUUIDFromToken,1959.767,R,uuid,,,,
updateAll,,1959.767,,,,,,
activeClientSessions,IsActiveSession,1959.954,R,id,,,,
accounts,FetchTrainerIds,1959.954,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1959.955,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1959.955,R,data,,,,
accounts,UpdateAccountLastActivity,1959.959,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1959.969,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1959.969,W,lastActivity,,,,
accountStats,UpdateAccountStats,1959.971,W,stats,,,,
systemSaveData,StoreSystemSaveData,1959.987,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,2007.171,R,uuid,,,,
activeClientSessions,IsActiveSession,2007.172,R,id,,,,
verify system,,2007.172,,,,,,
sessions,FetchUUIDFromToken,2053.030,R,uuid,,,,
activeClientSessions,IsActiveSession,2053.031,R,id,,,,
verify system,,2053.031,,,,,,
sessions,FetchUUIDFromToken,2126.161,R,uuid,,,,
activeClientSessions,UpdateActiveSession,2126.162,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,2126.163,R,data,,,,
newclear session,,2126.164,,,,,,
sessions,FetchUUIDFromToken,2129.389,R,uuid,,,,
updateAll,,2129.390,,,,,,
activeClientSessions,IsActiveSession,2129.921,R,id,,,,
accounts,FetchTrainerIds,2129.921,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,2129.922,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,2129.923,R,data,,,,
accounts,UpdateAccountLastActivity,2129.925,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,2129.930,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,2129.931,W,lastActivity,,,,
accountStats,UpdateAccountStats,2129.932,W,stats,,,,
systemSaveData,StoreSystemSaveData,2129.942,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,2130.122,R,uuid,,,,
activeClientSessions,UpdateActiveSession,2130.123,W,uuid,clientSessionId,,,
clear session,,2130.123,,,,,,
accounts,UpdateAccountLastActivity,2130.125,W,lastActivity,,,,
sessionSaveData,DeleteSessionSaveData,2130.126,W,sessionSaveData,,,,
sessions,FetchUUIDFromToken,2130.306,R,uuid,,,,
Info,,2130.306,,,,,,
accounts,FetchUsernameFromUUID,2130.307,R,userName,,,,
accounts,FetchDiscordIdByUsername,2130.309,R,discordId,,,,
accounts,FetchGoogleIdByUsername,2130.310,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,2130.311,R,slot,,,,
sessions,FetchUUIDFromToken,2183.723,R,uuid,,,,
sessions,FetchUUIDFromToken,2183.724,R,uuid,,,,
activeClientSessions,UpdateActiveSession,2183.724,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,2183.725,R,uuid,,,,
activeClientSessions,UpdateActiveSession,2183.725,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,2183.725,R,data,,,,
sessions,FetchUUIDFromToken,2183.726,R,uuid,,,,
sessions,FetchUUIDFromToken,2183.726,R,uuid,,,,
activeClientSessions,UpdateActiveSession,2183.726,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,2183.726,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,2183.726,R,data,,,,
sessionSaveData,ReadSessionSaveData,2183.727,R,data,,,,
activeClientSessions,UpdateActiveSession,2183.727,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,2183.727,R,data,,,,
sessionSaveData,ReadSessionSaveData,2183.727,R,data,,,,
sessions,FetchUUIDFromToken,2226.566,R,uuid,,,,
Info,,2226.566,,,,,,
accounts,FetchUsernameFromUUID,2226.567,R,userName,,,,
accounts,FetchDiscordIdByUsername,2226.568,R,discordId,,,,
accounts,FetchGoogleIdByUsername,2226.569,R,googleId,,,,
sessionSaveData,GetLatestSessionSaveDataSlot,2226.570,R,slot,,,,
sessions,FetchUUIDFromToken,2226.757,R,uuid,,,,
activeClientSessions,IsActiveSession,2226.758,R,id,,,,
get system,,2226.758,,,,,,
systemSaveData,ReadSystemSaveData,2226.759,R,data,,,,
sessions,RemoveSessionFromToken,2278.680,W,token,,,,
logout,,2278.680,,,,,,
