Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
sessions,FetchUUIDFromToken,1263.831,R,uuid,,,,
sessions,FetchUUIDFromToken,1263.831,R,uuid,,,,
sessions,FetchUUIDFromToken,1263.831,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1263.831,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,1263.831,W,uuid,clientSessionId,,,
activeClientSessions,UpdateActiveSession,1263.831,W,uuid,clientSessionId,,,
sessions,FetchUUIDFromToken,1263.832,R,uuid,,,,
sessionSaveData,ReadSessionSaveData,1263.832,R,data,,,,
sessionSaveData,ReadSessionSaveData,1263.832,R,data,,,,
sessionSaveData,ReadSessionSaveData,1263.832,R,data,,,,
activeClientSessions,UpdateActiveSession,1263.832,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1263.833,R,data,,,,
sessions,FetchUUIDFromToken,1264.707,R,uuid,,,,
updateAll,,1264.707,,,,,,
activeClientSessions,IsActiveSession,1264.731,R,id,,,,
accounts,FetchTrainerIds,1264.731,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1264.732,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1264.732,R,data,,,,
accounts,UpdateAccountLastActivity,1264.734,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1264.738,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1264.739,W,lastActivity,,,,
accountStats,UpdateAccountStats,1264.741,W,stats,,,,
systemSaveData,StoreSystemSaveData,1264.761,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1288.061,R,uuid,,,,
activeClientSessions,IsActiveSession,1288.061,R,id,,,,
verify system,,1288.061,,,,,,
sessions,FetchUUIDFromToken,1308.276,R,uuid,,,,
activeClientSessions,IsActiveSession,1308.277,R,id,,,,
verify system,,1308.277,,,,,,
sessions,FetchUUIDFromToken,1326.319,R,uuid,,,,
activeClientSessions,IsActiveSession,1326.319,R,id,,,,
verify system,,1326.319,,,,,,
sessions,FetchUUIDFromToken,1351.648,R,uuid,,,,
activeClientSessions,IsActiveSession,1351.648,R,id,,,,
verify system,,1351.648,,,,,,
sessions,FetchUUIDFromToken,1411.542,R,uuid,,,,
updateAll,,1411.542,,,,,,
activeClientSessions,IsActiveSession,1411.566,R,id,,,,
accounts,FetchTrainerIds,1411.566,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,1411.567,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,1411.567,R,data,,,,
accounts,UpdateAccountLastActivity,1411.570,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,1411.580,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,1411.580,W,lastActivity,,,,
accountStats,UpdateAccountStats,1411.582,W,stats,,,,
systemSaveData,StoreSystemSaveData,1411.596,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,1457.166,R,uuid,,,,
activeClientSessions,IsActiveSession,1457.166,R,id,,,,
verify system,,1457.166,,,,,,
sessions,FetchUUIDFromToken,1530.907,R,uuid,,,,
activeClientSessions,IsActiveSession,1530.908,R,id,,,,
verify system,,1530.908,,,,,,
sessions,FetchUUIDFromToken,1576.948,R,uuid,,,,
activeClientSessions,UpdateActiveSession,1576.949,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,1576.949,R,data,,,,
newclear session,,1576.951,,,,,,
sessions,FetchUUIDFromToken,1580.158,R,uuid,,,,
