Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accountStats,RetrievePlaytime,208.344,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,208.344,R,data,,,,
accounts,UpdateAccountLastActivity,208.347,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,208.354,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,208.355,W,lastActivity,,,,
accountStats,UpdateAccountStats,208.357,W,stats,,,,
systemSaveData,StoreSystemSaveData,208.379,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,228.658,R,uuid,,,,
activeClientSessions,IsActiveSession,228.658,R,id,,,,
verify system,,228.658,,,,,,
sessions,FetchUUIDFromToken,288.033,R,uuid,,,,
activeClientSessions,IsActiveSession,288.033,R,id,,,,
verify system,,288.033,,,,,,
sessions,FetchUUIDFromToken,355.655,R,uuid,,,,
activeClientSessions,IsActiveSession,355.656,R,id,,,,
verify system,,355.656,,,,,,
sessions,FetchUUIDFromToken,379.612,R,uuid,,,,
activeClientSessions,IsActiveSession,379.613,R,id,,,,
verify system,,379.613,,,,,,
sessions,FetchUUIDFromToken,413.457,R,uuid,,,,
updateAll,,413.457,,,,,,
activeClientSessions,IsActiveSession,413.599,R,id,,,,
accounts,FetchTrainerIds,413.600,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,413.600,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,413.601,R,data,,,,
accounts,UpdateAccountLastActivity,413.604,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,413.616,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,413.616,W,lastActivity,,,,
accountStats,UpdateAccountStats,413.618,W,stats,,,,
systemSaveData,StoreSystemSaveData,413.639,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,440.544,R,uuid,,,,
activeClientSessions,IsActiveSession,440.545,R,id,,,,
verify system,,440.545,,,,,,
sessions,FetchUUIDFromToken,493.834,R,uuid,,,,
activeClientSessions,IsActiveSession,493.835,R,id,,,,
verify system,,493.835,,,,,,
sessions,FetchUUIDFromToken,520.080,R,uuid,,,,
activeClientSessions,IsActiveSession,520.081,R,id,,,,
verify system,,520.081,,,,,,
sessions,FetchUUIDFromToken,566.481,R,uuid,,,,
activeClientSessions,IsActiveSession,566.481,R,id,,,,
verify system,,566.481,,,,,,
sessions,FetchUUIDFromToken,702.696,R,uuid,,,,
updateAll,,702.696,,,,,,
activeClientSessions,IsActiveSession,702.782,R,id,,,,
accounts,FetchTrainerIds,702.783,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,702.784,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,702.784,R,data,,,,
accounts,UpdateAccountLastActivity,702.787,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,702.798,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,702.798,W,lastActivity,,,,
accountStats,UpdateAccountStats,702.800,W,stats,,,,
systemSaveData,StoreSystemSaveData,702.820,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,747.945,R,uuid,,,,
activeClientSessions,IsActiveSession,747.946,R,id,,,,
verify system,,747.946,,,,,,
sessions,FetchUUIDFromToken,782.908,R,uuid,,,,
activeClientSessions,IsActiveSession,782.909,R,id,,,,
verify system,,782.909,,,,,,
sessions,FetchUUIDFromToken,812.307,R,uuid,,,,
activeClientSessions,IsActiveSession,812.308,R,id,,,,
verify system,,812.308,,,,,,
sessions,FetchUUIDFromToken,866.774,R,uuid,,,,
activeClientSessions,IsActiveSession,866.775,R,id,,,,
verify system,,866.775,,,,,,
sessions,FetchUUIDFromToken,940.998,R,uuid,,,,
activeClientSessions,UpdateActiveSession,940.999,W,uuid,clientSessionId,,,
sessionSaveData,ReadSessionSaveData,941.000,R,data,,,,
newclear session,,941.002,,,,,,
sessions,FetchUUIDFromToken,944.393,R,uuid,,,,
updateAll,,944.393,,,,,,
activeClientSessions,IsActiveSession,944.473,R,id,,,,
