Table Name,Function Name,Time,R/W,data1,data2,data3,data4,data5
accountStats,RetrievePlaytime,2230.520,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,2230.520,R,data,,,,
accounts,UpdateAccountLastActivity,2230.524,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,2230.540,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,2230.542,W,lastActivity,,,,
accountStats,UpdateAccountStats,2230.543,W,stats,,,,
systemSaveData,StoreSystemSaveData,2230.569,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,2267.366,R,uuid,,,,
activeClientSessions,IsActiveSession,2267.367,R,id,,,,
verify system,,2267.367,,,,,,
sessions,FetchUUIDFromToken,2296.236,R,uuid,,,,
activeClientSessions,IsActiveSession,2296.237,R,id,,,,
verify system,,2296.237,,,,,,
sessions,FetchUUIDFromToken,2324.324,R,uuid,,,,
activeClientSessions,IsActiveSession,2324.325,R,id,,,,
verify system,,2324.325,,,,,,
sessions,FetchUUIDFromToken,2350.224,R,uuid,,,,
activeClientSessions,IsActiveSession,2350.225,R,id,,,,
verify system,,2350.225,,,,,,
sessions,FetchUUIDFromToken,2545.576,R,uuid,,,,
updateAll,,2545.576,,,,,,
activeClientSessions,IsActiveSession,2546.536,R,id,,,,
accounts,FetchTrainerIds,2546.537,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,2546.537,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,2546.538,R,data,,,,
accounts,UpdateAccountLastActivity,2546.541,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,2546.556,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,2546.556,W,lastActivity,,,,
accountStats,UpdateAccountStats,2546.560,W,stats,,,,
systemSaveData,StoreSystemSaveData,2546.588,W,uuid,data,timeStamp,,
sessions,FetchUUIDFromToken,2561.495,R,uuid,,,,
activeClientSessions,IsActiveSession,2561.496,R,id,,,,
verify system,,2561.496,,,,,,
sessions,FetchUUIDFromToken,2601.465,R,uuid,,,,
activeClientSessions,IsActiveSession,2601.466,R,id,,,,
verify system,,2601.466,,,,,,
sessions,FetchUUIDFromToken,2614.234,R,uuid,,,,
activeClientSessions,IsActiveSession,2614.235,R,id,,,,
verify system,,2614.235,,,,,,
sessions,FetchUUIDFromToken,2666.724,R,uuid,,,,
activeClientSessions,IsActiveSession,2666.725,R,id,,,,
verify system,,2666.725,,,,,,
sessions,FetchUUIDFromToken,2702.348,R,uuid,,,,
updateAll,,2702.348,,,,,,
activeClientSessions,IsActiveSession,2703.315,R,id,,,,
accounts,FetchTrainerIds,2703.315,R,trainerID,secretID,,,
accountStats,RetrievePlaytime,2703.316,R,playtime,,,,
sessionSaveData,ReadSessionSaveData,2703.316,R,data,,,,
accounts,UpdateAccountLastActivity,2703.321,W,lastActivity,,,,
sessionSaveData,StoreSessionSaveData,2703.337,W,uuid,slot,data,timeStamp,
accounts,UpdateAccountLastActivity,2703.338,W,lastActivity,,,,
